0,1,4
1,2,2
2,3,3
3,4,5
4,5,3
5,6,2
6,7,4
7,8,1
8,9,4
9,10,5
10,11,3
11,12,3
12,13,4
13,14,3
14,15,4
15,16,6
16,17,4
17,18,3
18,19,2
19,20,6
20,21,5
21,22,1
43,44,4
44,45,4
45,46,6
46,47,2
47,48,5
48,49,5
49,50,3
50,51,3
51,52,4
52,53,1
53,54,5
54,55,4
55,56,3
56,57,3
57,58,1
58,59,3
59,60,4
60,61,2
61,62,6
62,63,1
63,64,4
64,65,2
65,66,5
66,67,6
67,68,6
68,69,3
69,70,3
70,71,6
71,72,5
72,73,4
73,74,6
74,75,1
75,76,2
76,77,3
23,24,1
24,25,6
25,26,6
26,27,3
27,28,5
28,29,6
29,30,1
30,31,3
31,32,2
32,33,3
33,34,2
34,35,6
35,36,5
36,37,6
37,38,1
38,39,1
39,40,5
40,41,2
41,42,3
3,58,15
31,4,15
33,59,15
